,rating,date,variation,verified_reviews,feedback
878,neutral,29-Jul-18,Heather Gray Fabric , ,1
879,positive,29-Jul-18,Charcoal Fabric ,mom bought echo dots repeated ask take one great  told   two days  made take  6 hours later could live life without   it’s amazing  four large speakers small echo dot  returning  say you’re going order alexa speaker  go big get echo  otherwise tou’ll returning two echo dots couldn’t live without ,1
880,positive,29-Jul-18,Heather Gray Fabric ,love  great product ,1
881,positive,29-Jul-18,Charcoal Fabric ,easy set user friendly,1
882,negative,29-Jul-18,Charcoal Fabric ,really disappointed alexa plug wall socket time   fault checking  made assumption company technologically advanced amazon would sell product rechargeable battery   could return  would apple music boom speaker give flexibility alexa ,0
883,neutral,29-Jul-18,Charcoal Fabric ,think  #34 2nd gen #34  sounds good 1st   aux  could add external speaker   going get dot   2nd issue  unique unit understand can't override default prevents playing blue tooth speaker playing  #34 group #34   get delay using bt speaker   units heard able play group using bt speaker ,1
884,positive,29-Jul-18,Charcoal Fabric ,everything,1
885,neutral,29-Jul-18,Heather Gray Fabric ,like interaction asking questions  don’t like can’t ask setup schedule connected lamp ,1
886,positive,29-Jul-18,Charcoal Fabric ,supberb sound  definitely worth extra money listen lots music ,1
887,positive,29-Jul-18,Charcoal Fabric ,really love amazon echo  think sound quality great lot fun  really handy music get updates weather sports ,1
888,positive,29-Jul-18,Charcoal Fabric ,love   grandkids ,1
889,positive,29-Jul-18,Heather Gray Fabric ,far worked well  always intuitive link different devices   skills  getting hang ,1
890,positive,29-Jul-18,Charcoal Fabric ,works advertised,1
891,positive,29-Jul-18,Sandstone Fabric ,love ,1
892,positive,29-Jul-18,Sandstone Fabric ,love new addition house  speaker quality great love alexa  two   complaints  suggestions future series  would better communication ability  example  smart lights house  unless specify kitchen light 1 kitchen light 2 prior command either won’t respond says doesn’t recognize  may  want alexa respond say thank afterwards  repeat alexa thank times won’t respond  husband  know sounds odd  laugh  maybe it’s southern thing want alexa manners ,1
893,positive,29-Jul-18,Sandstone Fabric ,like everything  music  trivia games  weather ,1
894,positive,29-Jul-18,Charcoal Fabric ,described received time   like automatic enrolment music ,1
895,positive,29-Jul-18,Charcoal Fabric ,great device,1
896,neutral,29-Jul-18,Sandstone Fabric ,owned echo overa year new lacks easy way increase decrease volume without telling increase decrease volume hard wife since english second language born korea  sound echo superb  we’ll keep ,1
897,positive,29-Jul-18,Charcoal Fabric ,love   kitchen works well ,1
898,positive,29-Jul-18,Charcoal Fabric ,nice   i'm impressed   wish say though ,1
899,positive,29-Jul-18,Charcoal Fabric ,love product  nice easy access much info ,1
900,negative,29-Jul-18,Sandstone Fabric ,got great sound bass work time  still hot miss recognizes things,0
901,positive,29-Jul-18,Charcoal Fabric ,still discovering echo ,1
902,positive,29-Jul-18,Charcoal Fabric ,amazing paroduct,1
903,positive,29-Jul-18,Heather Gray Fabric ,good hearing range sound quality  bit complicated set quite understand lot even speaking slowly clearly love flash briefing feature interfacing abode home security system ,1
904,positive,29-Jul-18,Charcoal Fabric ,speaker sounds good,1
905,positive,29-Jul-18,Charcoal Fabric ,absolutely love ,1
906,positive,29-Jul-18,Charcoal Fabric ,best part product control thermostat lights house   isn’t anything dislike ,1
907,positive,29-Jul-18,Charcoal Fabric ,we're thoroughly enjoying amazon echo  installation easy using alexa app  purchased 2 kasa smart plugs control living room lights  installation easy using kasa app  sinqued right echo  we're enjoying playing music echo sound quality awesome  we've added kasa smart bulb kitchen  setup seamless  we're looking forward adding automation home ,1
908,positive,29-Jul-18,Charcoal Fabric ,home entertainment,1
909,positive,29-Jul-18,Heather Gray Fabric ,cool product  easy setup  fun use sound quality much better anticipated ,1
910,positive,29-Jul-18,Heather Gray Fabric ,love   great sound  easy connect use ,1
911,positive,29-Jul-18,Charcoal Fabric ,work fairly new smart tv  that's mainly tv manufacturers lg  fault due supporting anything older tvs year  smart locks also need additional piece equipment order connect well  speakers sound great works well ,1
912,positive,29-Jul-18,Charcoal Fabric ,great sound little speaker,1
913,positive,29-Jul-18,Charcoal Fabric ,enjoy,1
914,positive,29-Jul-18,Sandstone Fabric , ,1
915,positive,29-Jul-18,Heather Gray Fabric ,cool,1
916,positive,29-Jul-18,Charcoal Fabric ,good quality  great sound quality,1
917,positive,29-Jul-18,Charcoal Fabric ,works perfectly,1
918,positive,29-Jul-18,Heather Gray Fabric ,great product  sometimes alexa understand commands fire tv   fabulous speaker ,1
919,positive,29-Jul-18,Charcoal Fabric ,love echo great sound smart ,1
920,positive,29-Jul-18,Heather Gray Fabric ,sure   love  ,1
921,positive,29-Jul-18,Charcoal Fabric ,plays great,1
922,positive,29-Jul-18,Charcoal Fabric ,works absolutely great,1
923,positive,29-Jul-18,Charcoal Fabric ,amazing product  great sound quality ,1
924,positive,29-Jul-18,Charcoal Fabric ,best thing i've invested thank much  ,1
925,positive,29-Jul-18,Charcoal Fabric ,extremely impressed item  bought  #34 warehouse #34   #34 outlet #34   #34 minor imperfection  can't tell even one  works great  come packaging  sealed damage missing anything  like sound quality  see knock  bose great family  easy use  minor learning curve learns voice  integrates seamlessly amazon services can't wait get classroom  lot fun even speaker  let alone plan ,1
926,positive,29-Jul-18,Sandstone Fabric ,love echo show   bedroom wonderful  music  info  sleeping sounds ,1
927,positive,29-Jul-18,Sandstone Fabric ,awesome life changer  seriously  able start morning alexa   #34 wake #34  alarm playing music  gotten used voice  another room  #34 listen #34  say  love echos  hesitate  get one price  speaker unbelievable  buying cordless holder  take echo anywhere  love purchase love alexa ,1
928,negative,29-Jul-18,Sandstone Fabric ,super impressed alexa  prime lapsed  play anything  smart enough differentiate among spotify accounts can't use either  randomly speaks nobody talking  today unplugged sure i'll ever use alexa ,0
929,positive,29-Jul-18,Charcoal Fabric ,like everything  ,1
930,positive,29-Jul-18,Heather Gray Fabric ,liked 100 ,1
931,positive,29-Jul-18,Charcoal Fabric ,never issue buying use electronics long get good like new  read comment see used ,1
932,positive,29-Jul-18,Charcoal Fabric ,family really loves new echo,1
933,positive,29-Jul-18,Heather Gray Fabric ,bought wife loves,1
934,positive,29-Jul-18,Charcoal Fabric ,fun got today pod go car use house ,1
935,positive,29-Jul-18,Sandstone Fabric ,like,1
936,positive,29-Jul-18,Sandstone Fabric ,third echo  worth every penny  like 3 household employees small flat rate  keep bedrooms living room  drop use intercom  listen music  answer quick questions  alarms wake school  etc ,1
937,positive,29-Jul-18,Charcoal Fabric ,listen music set timer,1
938,positive,29-Jul-18,Sandstone Fabric ,received echo perfect condition  device easy set responds quickly without issues  alexa great addition family ,1
939,positive,29-Jul-18,Charcoal Fabric ,good sound  like music scheduling  like get random thoughts recorded think  jokes cute ,1
940,positive,29-Jul-18,Charcoal Fabric ,purchased beginning learn   far pleased amazed different actions perform   enjoying looking forward learning options provides ,1
941,positive,29-Jul-18,Sandstone Fabric ,echo great others  even though smaller ,1
942,positive,29-Jul-18,Charcoal Fabric ,funny buy something looks fun winds totally useful part home   loving ,1
943,neutral,29-Jul-18,Charcoal Fabric ,bought replace  #34 dot #34  living room  speaker slightly better  hears better tv  unfortunately  understand respond requests well dot  frequently request 2 3 times get want  dot usually exactly want first request  consider upgrade ,1
944,positive,29-Jul-18,Charcoal Fabric ,good experience  far second generation echo  many things learn  time yet  right  mostly enjoying music  weather updates  using alarm feature  personality  also purchased mini smart socket yes  excited begin using,1
945,positive,29-Jul-18,Charcoal Fabric ,i’m trouble connecting tv  i’m exactly tech smart  i’m sure one grandsons figure  far i’ve using mostly music ,1
946,positive,29-Jul-18,Charcoal Fabric ,simply love echo  hardly watch tv anymore  i'm busy listening music  speaker pretty goo size  fun skills really make echo fun whole family ,1
947,positive,29-Jul-18,Charcoal Fabric ,enjoyed entire echo experience,1
948,positive,29-Jul-18,Charcoal Fabric ,easy set ,1
949,positive,29-Jul-18,Charcoal Fabric ,echo amazing device   many times seems intuitive   times ask something seems clear simple get result   installation fairly straightforward  messed several times simply thought step complete   actually made lose ground figured   advice patient  app let know move next step biggest issue moment several echo devices home would like use intercoms  told done   however  can't make echos aware others existence   ask alexa answers instructions change name   know likely fault  would think designers would anticipate make easier find needed instructions   small deal many device savvy people  challenge ,1
950,positive,29-Jul-18,Heather Gray Fabric ,loving much,1
951,positive,29-Jul-18,Heather Gray Fabric ,original alexa tap far 2nd generation best  i'm happy see making improvements new one would great updates little 's  think would help lot bugs  happy play music throughout whole house adjust bass treble  thank,1
952,positive,29-Jul-18,Charcoal Fabric ,pleased echo 2nd generation  nice alexa available music  weather  news  probably lot haven’t discovered ,1
953,positive,29-Jul-18,Heather Gray Fabric ,pleasantly surprised sound quality echo  big fan deep bass  might sufficient though  potential control home option explore evolve home  smart home  voice recognition impressive  stylish fun  regrets purchase  great technically changes people  ask play song movie responds instantly  elderly loved one  would great gift  connected wifi  simple use   want unlimited music control  sure amazon prime premium spotify blown away personal dj  even conversations echo  embarrassed say  echo made laugh couple times ask tell joke  tells packages since amazon prime addict  comes extremely  handy ,1
954,positive,29-Jul-18,Heather Gray Fabric ,easy setup  love things ,1
955,positive,29-Jul-18,Heather Gray Fabric ,alexa throughout house future arrived ,1
956,positive,29-Jul-18,Charcoal Fabric ,already alexa amazon find today could resist getting echo also  best thing ever  use side house  happier ,1
957,positive,29-Jul-18,Sandstone Fabric ,arrived expected ,1
958,positive,29-Jul-18,Charcoal Fabric ,bought weeks ago    everything product excellent   forget buy charger ordering  must take outside pool worry hiring electrician put outlets yard ,1
959,positive,29-Jul-18,Charcoal Fabric ,terrific,1
960,positive,29-Jul-18,Oak Finish ,love echo,1
961,positive,29-Jul-18,Charcoal Fabric ,it’s smaller original  looks nicer ,1
962,positive,29-Jul-18,Heather Gray Fabric ,works great ,1
963,positive,29-Jul-18,Charcoal Fabric ,husband would call  #34 late adopters #34  come technology  decide would try echo serve primarily music source   wow  amazed great sound   we've also great time listening favorite songs buy asking alexa   may even buy one elderly dad   think enjoy one listen music even place calls us ,1
964,positive,29-Jul-18,Charcoal Fabric ,really enjoyed   changing directv channels  plays iheartradio pandora   adjusts ac thermostat turns living room lights outside lights ,1
965,positive,29-Jul-18,Charcoal Fabric ,wanting one   bought prime day absolutely love ,1
966,positive,29-Jul-18,Charcoal Fabric ,glad got echo bluetooth speaker  alexa much stuff non smart speakers  personally love timer feature  helped cooking multiple things simultaneously  pandora integration another feature use daily  happy prime day purchase  get echo hub echo dots future ,1
967,positive,29-Jul-18,Charcoal Fabric ,see subject line   love,1
968,positive,29-Jul-18,Heather Gray Fabric ,love ,1
969,positive,29-Jul-18,Heather Gray Fabric ,easy setup ,1
970,positive,29-Jul-18,Heather Gray Fabric ,hesitant buy echo echo dot seems good enough  echo except sound quality  really feel needed  however  glad got  difference  sound really far superior echo dot  listen greatest showman little power ,1
971,positive,29-Jul-18,Sandstone Fabric ,sound quality great  still learning different things  fun ,1
972,positive,29-Jul-18,Charcoal Fabric ,got good deal works great prime   setup bit pain fault crappy internet service   worked great nice sound small speaker ,1
973,positive,29-Jul-18,Charcoal Fabric ,love ,1
974,positive,29-Jul-18,Charcoal Fabric ,works great  perfect office ,1
975,positive,29-Jul-18,Heather Gray Fabric ,love  one inside house one pool   good bose speakers around house  ,1
976,positive,29-Jul-18,Sandstone Fabric ,easy use amazing,1
977,positive,29-Jul-18,Charcoal Fabric ,nice product ,1
978,positive,29-Jul-18,Charcoal Fabric ,love echo  totally amazed speaker quality  bummed didn’t buy two since got prime day ,1
979,positive,29-Jul-18,Sandstone Fabric ,responsive  great sound quality size ,1
980,positive,29-Jul-18,Charcoal Fabric ,efficient amazing   cool   use often every day ,1
981,positive,29-Jul-18,Charcoal Fabric ,i’m impressed quality sound echo  it’s definitely comparable bose mini  gave 4 stars can’t use apple music account ,1
982,positive,29-Jul-18,Charcoal Fabric ,technology small device  price good  sound amazing  must feature home ,1
983,positive,29-Jul-18,Charcoal Fabric ,mainly use music i’m learning time   really nothing bad say,1
984,positive,29-Jul-18,Charcoal Fabric ,replaced 1st gen  concerned smaller unit sound wrong   anything volume  clear   good product ,1
985,positive,29-Jul-18,Charcoal Fabric ,great addition echo plus ,1
986,positive,29-Jul-18,Charcoal Fabric ,best,1
987,positive,29-Jul-18,Heather Gray Fabric ,love feature play music every room multiple echos ,1
988,positive,29-Jul-18,Heather Gray Fabric ,love alexa   surprised much use ,1
989,positive,29-Jul-18,Charcoal Fabric ,use product enjoyment love,1
990,positive,29-Jul-18,Sandstone Fabric ,easy use great sound great purchase great price ,1
991,positive,29-Jul-18,Charcoal Fabric ,easy set issues ,1
992,positive,29-Jul-18,Charcoal Fabric ,unit add much pleasure echo plus   music information home   one room ,1
993,positive,29-Jul-18,Heather Gray Fabric ,extremely useful simple things like spotify audible things like sometimes answer everything ask still nice use ,1
994,negative,29-Jul-18,Charcoal Fabric ,difficult set   keeps timing enter password,0
995,positive,29-Jul-18,Charcoal Fabric ,getting use using echo  used shopping lists  listening music timer  working great far ,1
996,positive,29-Jul-18,Heather Gray Fabric ,cool lots fun  used week still learning capabilities ,1
997,positive,29-Jul-18,Heather Gray Fabric ,love  love ,1
998,positive,29-Jul-18,Heather Gray Fabric ,love hard time setting apps,1
999,positive,29-Jul-18,Charcoal Fabric ,use office another apartment music information,1
1000,positive,29-Jul-18,Sandstone Fabric ,great music  little hard figure works ,1
1001,positive,29-Jul-18,Charcoal Fabric ,given 7 year time birthday gift dad  loves  ask alexa anything answer  plus it’s good homework  purchased one prime day bathroom i’m getting ready work  listen music 4am base it’s metro booming  replacement clock radio  plus echo dot night stand alarm clock ,1
1002,positive,29-Jul-18,Sandstone Fabric ,impressed look  clarity sound color ,1
1003,positive,29-Jul-18,Charcoal Fabric ,alexa amazing  great speaker ,1
1004,positive,29-Jul-18,Sandstone Fabric ,still getting used alexa  connected tv yet things right use music information  great ,1
1005,positive,29-Jul-18,Charcoal Fabric ,works sounds great  house barely 1100sf  sitting kitchen counter  hear  speak room  lots functionality still discover ,1
1006,positive,29-Jul-18,Charcoal Fabric ,pure fun echo   weather  jokes  news briefing  music still much use   lot fun money ,1
1007,positive,29-Jul-18,Charcoal Fabric ,use time especially communicate kids throughout home,1
1008,positive,29-Jul-18,Charcoal Fabric ,love  still learning  makes lot things easier  like forget turn light another room ask alexa turn light ,1
1009,positive,29-Jul-18,Heather Gray Fabric ,bought daughter turned 9   loves   especially like calling feature since doesn’t cell phone   loves playing music dancing amazon music play favorite songs   sometimes lol ,1
1010,positive,29-Jul-18,Charcoal Fabric ,got wedding gift haven’t discovered features yet  update  playing music great though ,1
1011,positive,29-Jul-18,Charcoal Fabric ,impressed sound quality ,1
1012,positive,29-Jul-18,Charcoal Fabric ,pleased purchase echo smart speaker   love fact play music different genre's whenever want trouble first wi fi  working ,1
1013,positive,29-Jul-18,Charcoal Fabric , wife   enjoy ease playing music  games fun   entertaining  look forward adding smart products home ,1
1014,positive,29-Jul-18,Sandstone Fabric ,second echo love helps kitchen  set timers  listen news  prepare grocery lists  get great music ,1
1015,positive,29-Jul-18,Sandstone Fabric ,sound quality good wish alexa could answer questions,1
1016,positive,29-Jul-18,Heather Gray Fabric ,second echo  dot speaker weak purchased listening music speaker great ,1
1017,positive,29-Jul-18,Charcoal Fabric ,great sound,1
1018,positive,29-Jul-18,Heather Gray Fabric ,great,1
1019,positive,29-Jul-18,Charcoal Fabric ,really use speaker stream music  we’ve 7 months it’s kinda useless ,1
1020,positive,29-Jul-18,Heather Gray Fabric ,set user friendly  set user friendly i'd hoped  alexa app able download pc without installing  invasive   drivers  wife retired able install alexa  son supplying smart phone using alexa yet ,1
1021,positive,29-Jul-18,Charcoal Fabric ,easy set  really enjoying,1
1022,neutral,29-Jul-18,Heather Gray Fabric ,echo doesn’t come built battery plugged times use  makes quite inconvenient ,1
1023,positive,29-Jul-18,Charcoal Fabric ,compact bit better original,1
1024,positive,29-Jul-18,Charcoal Fabric ,love pretty cool ,1
1025,positive,29-Jul-18,Charcoal Fabric ,living room  music sounds really good living room   hear upstairs ,1
1026,positive,29-Jul-18,Heather Gray Fabric ,great product   set easy   sound wonderful ,1
1027,positive,28-Jul-18,Charcoal Fabric ,far like   bought music though  sounds pretty good ,1
1028,positive,28-Jul-18,Charcoal Fabric ,love,1
1029,positive,28-Jul-18,Charcoal Fabric ,love ,1
1030,positive,28-Jul-18,Charcoal Fabric ,glad bought ,1
1031,positive,28-Jul-18,Heather Gray Fabric ,like  types fun music ,1
1032,positive,28-Jul-18,Heather Gray Fabric ,like volume top turn quickly ,1
1033,neutral,28-Jul-18,Charcoal Fabric ,beyond capabilities program  grandkids lve,1
1034,positive,28-Jul-18,Heather Gray Fabric ,love new echo   gives hours music help things difficult set   help tekkie,1
1035,positive,28-Jul-18,Charcoal Fabric ,almost good bose  love whole house music ,1
1036,negative,28-Jul-18,Charcoal Fabric ,alexa hardly came ,0
1037,positive,28-Jul-18,Charcoal Fabric ,easy setup using app  also easy install phone   sound quality listening music pandora wonderful ,1
1038,positive,28-Jul-18,Charcoal Fabric ,i’m still learning use echo  far love ,1
1039,positive,28-Jul-18,Charcoal Fabric ,works awesome ,1
1040,positive,28-Jul-18,Charcoal Fabric ,works great ,1
1041,positive,28-Jul-18,Charcoal Fabric ,small speaker sounds great,1
1042,positive,28-Jul-18,Charcoal Fabric ,great sound size prize  course alexa ,1
1043,positive,28-Jul-18,Charcoal Fabric ,echo definitely need one,1
1044,positive,28-Jul-18,Charcoal Fabric ,great device   seems work better 1st generation ,1
1045,positive,28-Jul-18,Charcoal Fabric ,useful,1
1046,positive,28-Jul-18,Charcoal Fabric ,great prime day buy ,1
1047,positive,28-Jul-18,Charcoal Fabric ,love alexa ,1
1048,positive,28-Jul-18,Charcoal Fabric ,alexa easy operate set   10 days love ,1
1049,positive,28-Jul-18,Heather Gray Fabric ,great speaker lot capabilities  fun learn use ,1
1050,positive,31-Jul-18,Black  Spot,used product phone look weather watch videos,1
1051,positive,31-Jul-18,White  Spot,don’t use much thought would  synced kasa cam use check baby crib lot  lyrics music cool   it’s used clock standard dot’ish features ,1
1052,positive,30-Jul-18,Black  Spot,amazing far  got day ,1
1053,positive,30-Jul-18,Black  Spot,like smaller  never understood commands easily first gen original echo ,1
1054,positive,30-Jul-18,Black  Spot,worthy successor echo dot right home bed room alarm clock   however  price come stand,1
1055,positive,30-Jul-18,Black  Spot,love device  functionality amazon echo added benefit video screen  looks great nightstand clock  lots faces choose  displays weather  reminders  etc  think video calls use facetime anyway  it’s great shape doesn’t take lot room  i’m planning get another one guest room  awesome great price ,1
1056,positive,30-Jul-18,White  Spot,love echo spot  bedside alarm clock size device theecho show  concerned already large echo mybedroom answered  alexa  like devices home  wasconcerned devices answering time discoveredthat name choices  enough enough avoid confusion named  echo  could choose male voice  loved could link tomy security camera new doorbell  many features  don’t forget buy thestand base  many advantages  read reviews  highly recommend ,1
1057,positive,30-Jul-18,Black  Spot,love little spot thought would  sound great little thing music plays nice loud clear  video terrific watching prime shows heck  really impressed  immediately convinced mom buy sister one birthday thing kept giving 5 stars really wish cordless  love kitchen trying find place plug pain  won’t connect bluetooth speaker playing amazon prime music reason  drag want hear dining room dinner  course  cordless could bring otherwise  absolutely love probably buy another one ,1
1058,positive,30-Jul-18,Black  Spot,bought prime day glad  it’s easy use lots customization options  know reviews said screen small hard read  disagree ,1
1059,negative,30-Jul-18,Black  Spot,honestly like time don’t could bought smaller one exact thing less half bought video chat never really used,0
1060,positive,30-Jul-18,Black  Spot,overall great like see lyrics time  date  however  sometimes freezes respond properly error message lack connectivity stops  resetting resolves problem ,1
1061,positive,30-Jul-18,Black  Spot,love echo spot ,1
1062,positive,30-Jul-18,White  Spot,thing like echo spot voice command feature   ask anything get answer play music without getting adjust echo  easy use,1
1063,positive,30-Jul-18,White  Spot,love  perfect alarm clock replacement  plus much ,1
1064,positive,30-Jul-18,Black  Spot,love echo spot great checking weather along many things  important works great alarm clock bedroom ,1
1065,positive,30-Jul-18,White  Spot,absolutely love product  wish would bought instead dots ,1
1066,positive,30-Jul-18,White  Spot,like able get weather information quickly   even hear music played  speaker clear   enjoying   like creepy day husband played particular song stereo   next day  asked echo play music artist specifying particular song   echo played exact song artist husband played stereo day   little disconcerting ,1
1067,positive,30-Jul-18,White  Spot,like echo spot  bought use alarm clock  one negative didnt really think  wake morning somewhat groggy  hard tell alexa turn alarm  hard remember commands snooze minutes  case clock buttons seems work better,1
1068,positive,30-Jul-18,White  Spot,second echo spot   go two echo dots   love look alexia responds ,1
1069,positive,30-Jul-18,Black  Spot,love echo spot ,1
1070,negative,30-Jul-18,Black  Spot,slow compared echo,0
1071,positive,30-Jul-18,White  Spot,love way designed  choices face   use bed side   drop  echo another part house frequently without yelling ,1
1072,positive,30-Jul-18,Black  Spot,terrific sound small device  nice form factor nightstand  like convenience seeing time temperature rather asking alexa  using video much  would nice device square rectangular screen ,1
1073,positive,30-Jul-18,Black  Spot,new alexa  like spot lot ,1
1074,positive,30-Jul-18,Black  Spot,perfect  really like little gizmo  bought primarily 2 purposes  first  could set wake alarms individual days  set wake music individually day  second  wanted control bedroom light voice  could shut falling asleep  without get bed turn switch  echo spot  together smart plug able accomplish  bonus getting alexa play music amazon prime playlists what's great sometimes alexa really hard time understanding instructions  repeating altering way say things get pretty frustrating  hopefully ai gets better future  along added functions ,1
1075,positive,30-Jul-18,White  Spot,love   easy use,1
1076,positive,30-Jul-18,Black  Spot,put night stand use clock alarm  works great  every morning get weather news get  also reminds appointments wife ,1
1077,positive,30-Jul-18,Black  Spot,love,1
1078,neutral,30-Jul-18,White  Spot,part fault  thought could wireless   though price  still feel like  also sound quality volume could better  prefer tap  unless really want call options today us phones  computers ipads  worth ,1
1079,positive,30-Jul-18,Black  Spot,easy use much quicker looking everything cell phone ,1
1080,positive,30-Jul-18,Black  Spot,love new echo spot ,1
1081,positive,30-Jul-18,Black  Spot,love clock  tell set alarm   fussing buttons ,1
1082,positive,30-Jul-18,Black  Spot,pleased  amazon hit one park  looks great runs great  love ,1
1083,positive,30-Jul-18,White  Spot,responds easily like ability night ,1
1084,positive,30-Jul-18,Black  Spot,easy setup  love ,1
1085,positive,30-Jul-18,White  Spot,simply amazing awsome device  never ceases amaze  wake big bang music  go sleep softly falling rain  drop kids keep touch  scratched surface devise ,1
1086,positive,30-Jul-18,Black  Spot,skeptical first  #34 #34  grows   looks good  far    however  turn camera ,1
1087,positive,30-Jul-18,Black  Spot,sound quality disappointing ,1
1088,positive,30-Jul-18,White  Spot,love   especially love small much   got rid old cd alarm clock radio   much room nightstand ,1
1089,positive,30-Jul-18,White  Spot,great sound video plus great stuff alexa offer even turns lights,1
1090,positive,30-Jul-18,Black  Spot,ease use product,1
1091,positive,30-Jul-18,Black  Spot,far pretty happy spot  really glorified alarm clock radio know could something cost effective eh  like  read reviews scrolling issues saw one make stop  far good ,1
1092,positive,30-Jul-18,Black  Spot,entering  #34 smart #34  technology world  figured yet  far pretty cool ,1
1093,positive,30-Jul-18,Black  Spot,smaller anticipated  say much mean  however  still works well  quality sound  easily programmed  easy work  alexa anywhere good voice programs ,1
1094,negative,30-Jul-18,White  Spot, ,0
1095,positive,30-Jul-18,White  Spot,love echo spot ,1
1096,positive,30-Jul-18,Black  Spot,great deal  great product ,1
1097,positive,30-Jul-18,Black  Spot,perfect,1
1098,positive,30-Jul-18,Black  Spot,couple echo dots previously   bought  specifically  ring doorbell video   cloud cam display   interface capabilities  disappointed  love fact ask see front yard   back yard   front door  etc video chat rooms also quite cool bonus   alexa show ant man trailer  etc know done laptop desktop  it’s cool  appliance’ that’s always  doesn’t interrupt i’m ,1
1099,positive,30-Jul-18,White  Spot,bought bedroom show living room  love  spot perfect bedside impressive design  shows lyrics  photos   etc  paired smart plug bedroom lamps  #34 alexa  turn lights #34  love ,1
1100,positive,30-Jul-18,Black  Spot,love much  sits nightstand  improvements would make battery back capability screen could tad bigger  overall i’m happy  would recommend ,1
1101,positive,30-Jul-18,Black  Spot,gift recipient love love loves  ,1
1102,positive,30-Jul-18,Black  Spot,cool little piece tech we’re still learning functions possibilities  see potential   even  technically challenged’ wife already figured video call daughter ,1
1103,positive,30-Jul-18,Black  Spot,extremely impressed device whole  completely changed sleep schedule replaced alarm clock  perfect bedside counter device   alarm  wake music  weather  top news stories  etc  perfect device wanted much expected  calling feature also huge selling point  must item  probably grab echos future ,1
1104,negative,30-Jul-18,Black  Spot,alexa device  works well products   unfortunately go   ability play videos limited   play youtube play video cropping screen makes look strange  quite selection clock faces  control displays one glaring annoying exception   can't turn  #34 things try #34  screen turn screen scroll  defeats purpose screen   need reminded every 5 seconds things alexa   need advertising  especially cost device   overall  expensive alexa device screen that's useful annoying   would recommend amazon people get act together come screen that's actually useful ,0
1105,positive,30-Jul-18,White  Spot,far good ,1
1106,positive,30-Jul-18,Black  Spot,device perfect smart nightstand clock  love dims based ambient light room  first nightstand clock bedroom years lighting glow typical alarm clocks bother trying sleep  screen dims lights room go bothersome overall great addition smart home  nice able tell alexa turn bedroom lights without even getting bed reaching phone  bunch alexa devices  first one screen ,1
1107,positive,30-Jul-18,White  Spot,love thing  talk walls rooms  amazon lover amazon music unlimited  kindle unlimited  prime video  etc  ready came  screen nice thing resembling side always perfectly understand song want hear  deep southern accent  lower alabama  speak english anyways ,1
1108,positive,30-Jul-18,Black  Spot,smaller thought would  happy got stand sits higher bedside table ,1
1109,positive,30-Jul-18,White  Spot,echo spot works well except work ring doorbell states website  since sold pair thought would app ready   unfortunately case   perhaps ring update integrated ,1
1110,positive,30-Jul-18,Black  Spot,nice,1
1111,positive,30-Jul-18,Black  Spot,like,1
1112,negative,30-Jul-18,White  Spot, ,0
1113,positive,30-Jul-18,White  Spot,we've owned number echo devices  viewed toy tool   playing music sound system  found much use   find voice user interface efficient   echo spot solves efficiency problem displaying information routinely interested   furthermore  basic navigation using touch screen well tailor settings   use bedside clocks ,1
1114,positive,30-Jul-18,White  Spot,love echo spot   waking favorite music   able completely turn display night bedroom dark   skills yet try   easy use ,1
1115,positive,30-Jul-18,Black  Spot,like small  i’m still able see ring cameras ,1
1116,positive,30-Jul-18,Black  Spot,great checking son school i'm still work   love getting weather traffic morning plan route accordingly,1
1117,positive,30-Jul-18,Black  Spot,love  super fun  easy use  three year old even gets involved,1
1118,negative,30-Jul-18,White  Spot,returnef item speak spanish,0
1119,negative,29-Jul-18,White  Spot, ,0
1120,positive,29-Jul-18,Black  Spot,hardcore fan echo  infact love members alexa family  echo  echo dot  echo plus new toddler echo spot  every variant beauty  love feel size echo spot  it’s fabulous far looks concerned  great audio quality  expect time placing order compact small size  bought connect bose soundtouch ,1
1121,positive,29-Jul-18,Black  Spot,love ,1
1122,positive,29-Jul-18,Black  Spot,love able alexa sing careless whisper ear wake ,1
1123,neutral,29-Jul-18,White  Spot,works great bedside clock microphone alexa work well normal echo   sometimes alexa hear try interrupt give new instructions   speaker also good normal echo   screen small really useful viewing type video seeing who's front door    great bedside ,1
1124,positive,29-Jul-18,Black  Spot,fun tech toy,1
1125,positive,29-Jul-18,Black  Spot,love  small good sound,1
1126,positive,29-Jul-18,Black  Spot,combination  smart plugins  alex app turn stuff phone telling alexa  order stuff  get answers  watch videos  get weather  set alarms  video call  much device ,1
1127,positive,29-Jul-18,Black  Spot,great product,1
1128,positive,29-Jul-18,Black  Spot,matter minutes became indispensable addition house  extrimelly useful hub information  music  automation  communication  assistant basic needs  would love voice personalization  things better said aloud typed  like door unlocking codes  problem unwitty developers  far positive experience  privacy invasions happened way alexa  phone matter brand carrier  alexa defence list button turn microphone ,1
1129,positive,29-Jul-18,Black  Spot,love device  great  great alarm clock surprisingly good speaker  reason give 5 stars needs features like playing youtube videos  google play music  camera good low light decide drop dark room minor things  love  great buy would buy,1
1130,positive,29-Jul-18,Black  Spot,hands free control,1
1131,positive,29-Jul-18,Black  Spot,great love display easy use  though still learning everyday ,1
